,Country Name,Continent,Population (Millions),GDP per Capita (PPP),Tax Burden % of GDP,Government Expenditure (% GDP),Unemployment (%),Inflation (%),Public Debt (% of GDP),Literacy (%),Birthrate,Deathrate,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Happiness Rank,Crime Index,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
200,Jamaica,America,2.961161,9975.179,28.6,30.752999999999997,8.4,5.21,105.583,87.9,20.82,6.52,56.5,64.6885009829731,76.2,69.2,80.0,50.0,63.0,67.42,49.67,15.1,33.46,53.41,35.04,30.25
201,Guatemala,America,16.858333,8292.577,13.1,14.094999999999999,4.65,2.437,31.742,70.6,29.88,5.2,62.1,50.26962255979459,79.3,75.0,70.0,50.0,39.0,68.0,43.49,15.6,30.42,41.92,32.59,26.35
202,Somalia,Africa,15.893219,924.532,20.718022598870046,32.61161363636366,13.1,21.670460674157297,69.2471555555555,37.8,45.13,16.63,61.2,55.7202824924999,74.39147727272727,69.53750000000004,57.13068181818182,48.86363636363637,72.07913669064749,70.0,34.58,5.16,20.79,39.39,26.65,29.4
203,Trinidad and Tobago,America,1.399491,25031.373,23.7,32.14633333333333,6.74,0.599,59.378,98.6,12.9,10.57,60.9,57.40031223723853,84.6,68.8,60.0,50.0,72.07913669064749,71.63,54.88,15.97,36.64,53.96,53.74,38.47
204,Zimbabwe,Africa,14.862926999999999,2621.82,12.6,20.684,5.7,557.21,88.873,90.7,28.01,21.84,36.9,34.924651824925974,0.0,0.0,25.0,10.0,144.0,74.0,45.68,8.75,28.37,39.88,38.13,19.07
205,Rwanda,Africa,12.952209,2336.728,17.1,28.115,1.35,8.0,60.962,70.4,40.37,16.09,50.7,42.55874771806288,74.4,58.2,60.0,40.0,143.0,76.0,31.62,15.9,24.25,27.71,27.99,26.82
206,Bolivia,America,11.673029,8343.912,24.7,37.065,5.61,0.942,67.29,87.2,23.3,7.53,54.7,46.24902944728225,72.8,60.8,15.0,40.0,71.0,80.0,34.77,10.18,23.24,31.26,24.97,36.04
207,Papua New Guinea,Oceania,8.947027,3833.369,11.82,21.596999999999998,2.74,4.992,49.178,64.6,29.36,7.25,47.9,65.13201764243242,71.4,80.4,25.0,30.0,72.07913669064749,80.79,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
208,Jordan,Asia,10.20314,10305.601,14.8,30.753,18.5,0.397,88.54,91.3,21.25,2.65,59.6,57.22778957446341,84.2,71.8,70.0,60.0,134.0,83.0,49.19,9.23,30.46,40.81,41.16,31.34
209,Honduras,America,9.904608,5449.575,21.9,26.627,9.39,3.468,48.882,76.2,28.24,5.28,56.9,39.11366688894885,72.7,71.6,65.0,60.0,55.0,89.0,40.46,10.28,26.31,34.73,28.67,32.09
210,United Arab Emirates,Africa,9.8904,58753.003,1.0,30.848666666666663,5.0,-2.074,38.329,77.9,18.96,4.4,73.2,64.92206324960993,80.8,78.2,50.0,60.0,24.0,97.0,58.33,43.28,51.28,46.67,61.53,92.17
211,Israel,Asia,9.2169,40547.288,30.47,41.486333333333334,4.61,-0.587,73.035,95.4,17.97,6.18,81.1,56.453920055462525,84.8,78.8,80.0,70.0,9.0,98.0,88.05,33.94,62.69,76.72,95.31,75.58
212,Nicaragua,America,6.624554,5574.78,25.9,28.175333333333338,5.82,3.705,46.005,67.5,24.51,4.45,53.8,46.93605378309264,72.0,67.8,60.0,50.0,45.0,106.0,39.64,8.68,25.13,38.13,27.51,17.63
213,Paraguay,America,7.13253,12881.025,13.9,23.090333333333334,7.61,1.768,34.776,94.0,29.1,4.49,65.4,39.44943137821175,75.6,77.0,75.0,60.0,73.0,109.0,30.2,10.04,20.75,25.45,24.19,26.08
214,Kyrgyz Republic,Asia,6.5916,5036.034,17.87,33.31,7.89,6.323,74.264,66.4,35.49,11.55,56.1,52.194108702703566,71.4,73.2,60.0,50.0,64.0,110.0,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
215,El Salvador,America,6.486201,8421.511,20.8,29.05666666666667,6.98,0.214,88.204,80.2,26.61,5.78,65.0,54.57971698012013,76.8,69.4,60.0,60.0,49.0,112.0,44.37,13.19,29.75,44.32,35.47,21.17
216,Lebanon,Asia,6.825442,11564.192,15.3,27.430666666666667,6.61,88.176,154.364,87.4,18.52,6.21,48.8,54.16010888845489,41.1,74.2,50.0,50.0,145.0,119.0,69.62,24.81,48.61,66.83,54.25,35.12
217,Costa Rica,America,5.094114,19990.085,23.6,21.121,17.08,0.724,68.347,96.0,18.32,4.36,66.0,56.589680708505846,83.1,74.6,70.0,50.0,23.0,124.0,47.01,14.7,31.87,45.54,41.69,39.88
218,Oman,Asia,5.106622,30178.421,2.6,47.312000000000005,4.97,-0.904,81.085,75.8,36.24,3.81,58.1,45.71805944574653,84.7,73.4,65.0,60.0,72.07913669064749,127.0,49.42,16.77,34.11,46.51,43.24,84.24
219,Panama,America,4.314768,27002.932,14.1,24.55333333333333,10.23,-1.55,63.455,92.6,21.74,5.36,67.1,61.53462734125545,78.1,77.2,75.0,70.0,37.0,128.0,51.43,21.75,37.51,52.16,43.38,33.09
220,Kuwait,Africa,4.270563,41626.899,1.4,56.555666666666674,6.79,2.102,11.469,97.0,22.8,7.08,55.4,52.70659325844905,71.7,75.6,55.0,60.0,50.0,129.0,48.68,31.31,40.54,35.63,47.48,78.57
221,Uruguay,America,3.473727,22459.484,29.0,31.498999999999995,12.67,9.756,66.264,98.0,13.91,9.05,75.7,60.33236635218886,70.9,70.4,75.0,30.0,30.0,133.0,52.07,13.93,34.19,44.01,49.39,30.07
222,Qatar,Asia,2.88106,93508.38,14.7,31.97,3.45,-2.719,71.779,82.5,15.56,4.72,58.6,51.937538396320605,76.0,81.4,60.0,60.0,72.07913669064749,143.0,62.81,48.2,55.96,54.97,63.01,93.67
223,Botswana,Africa,2.351625,16892.806,12.1,36.59066666666667,17.7,1.994,19.977,79.8,23.08,29.5,56.7,61.59465058133107,75.4,77.2,65.0,70.0,142.0,144.0,40.17,10.21,26.12,35.16,42.5,62.63
224,Namibia,Africa,2.5,9396.838,19.4,38.08866666666666,20.35,2.568,65.662,84.0,24.32,18.86,55.4,63.410967728954404,79.0,71.2,65.0,40.0,124.0,145.0,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
225,Bahrain,Africa,1.701583,48765.979,3.02,33.92433333333333,4.09,-2.324,132.878,89.1,17.8,4.14,60.2,54.853870148077156,81.1,83.0,85.0,80.0,21.0,154.0,54.77,29.22,42.79,44.59,48.94,61.41
226,Mauritius,Africa,1.26574,20292.269,20.4,29.77,7.11,2.52,87.779,85.6,15.43,6.86,72.0,69.82336985676413,75.9,87.4,80.0,70.0,52.0,157.0,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
227,Cyprus,Europe,1.207361,40107.126,24.2,43.107,7.21,-1.097,118.201,97.6,12.56,7.68,74.9,66.37458090114387,83.9,79.2,75.0,60.0,41.0,158.0,59.03,22.36,41.84,49.2,61.15,57.31
228,Guyana,America,0.786559,19683.729,23.2,28.961,15.82,0.722,43.889,98.8,18.28,8.28,63.1,67.30181879930872,83.3,69.4,55.0,30.0,72.07913669064749,164.0,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
229,Maldives,Asia,0.540542,19608.983,17.49,38.637,7.18,-1.594,142.576,97.2,34.81,7.06,39.8,51.577788018680145,77.2,60.0,35.0,30.0,72.07913669064749,174.0,57.66,30.2,44.78,56.6,34.72,28.59
230,Belize,America,0.397621,6046.025,32.4,34.583,7.82,0.12,127.408,94.1,28.84,5.72,54.0,59.9482058065417,82.5,55.6,55.0,50.0,72.07913669064749,177.0,51.3,11.64,32.71,48.76,36.6,45.73
