,Country Name,Continent,Population (Millions),GDP per Capita (PPP),Tax Burden % of GDP,Government Expenditure (% GDP),Unemployment (%),Inflation (%),Public Debt (% of GDP),Literacy (%),Birthrate,Deathrate,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Happiness Rank,Crime Index,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
98,Comoros,Africa,0.869595,3048.01,17.4,19.548000000000002,8.43,1.088,26.807,56.5,36.93,8.2,48.3,55.51941537693801,81.5,27.0,45.0,30.0,116.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
99,Benin,Africa,12.123198,3436.722,15.4,16.74666666666667,2.54,3.0,45.387,40.9,38.85,12.22,47.7,59.563584498218304,80.4,61.4,50.0,50.0,115.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
100,Guinea,Africa,13.132792,2604.139,15.6,15.539666666666667,4.35,10.602,41.379,35.9,41.76,15.48,45.4,49.53637997024629,69.7,66.4,50.0,40.0,109.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
101,Solomon Islands,Oceania,0.686878,2454.821,21.16,36.46866666666667,0.79,3.436,13.939,275.8004784688995,30.01,3.92,44.4,60.217578602092814,79.0,68.6,15.0,30.0,72.07913669064749,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
102,Lesotho,Africa,2.142252,2717.757,20.2,56.412,24.65,4.936,50.264,84.8,24.75,28.71,44.2,58.27495418500943,75.9,62.2,55.0,40.0,141.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
103,Mali,Africa,20.250834,2400.817,14.1,23.19,7.5,0.627,44.15,46.4,49.82,16.89,44.2,54.21702087080035,82.8,64.0,65.0,40.0,123.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
104,Burkina Faso,Africa,20.903278,2262.427,16.8,24.310333333333336,4.96,1.885,44.326,26.6,45.62,15.6,41.9,61.60675419860814,75.6,61.0,65.0,40.0,113.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
105,Burma,Asia,54.409794,5241.645,5.9,20.978333333333335,1.79,5.725,39.301,85.3,17.91,9.83,41.7,49.638986416397834,73.9,69.4,30.0,20.0,114.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
106,Turkmenistan,Asia,6.031187,16520.714,15.56,13.498333333333333,4.38,7.583,31.032,98.0,27.61,8.6,37.5,30.6833607468064,72.7,74.2,10.0,10.0,78.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
107,Madagascar,Africa,27.691019,1599.044,11.4,15.396666666666667,1.92,4.188,43.58,68.9,41.41,11.11,37.4,55.956371739851015,75.9,64.8,55.0,50.0,128.0,43.03,44.23,19.18992647058823,35.57419117647057,46.494926470588254,43.46286764705883,46.597205882352924
